[2025-07-25 20:11:16.746][DBG] CCoreGlobalCtrlBase::LoadDSo, HPR_LoadDSo Succ, Path[E:/WorkFiles/haikang/project/project/core/zlib1.dll], hHandleRet[1672871936]
[2025-07-25 20:11:16.746][INF] The COM:HCCoreBase ver is 6.1.4.15, 2020_03_05. Async:1.
[2025-07-25 20:11:16.746][INF] The COM:Core ver is 6.1.9.48, 2023_04_10. Async:1.
[2025-07-25 20:11:16.746][INF] This HCNetSDK ver is 6.1.9.48 Ver 2023_04_10.
[2025-07-25 20:11:16.986][INF] CCoreGlobalCtrl::LoadDSo, enumDllType[0], cTempPath[E:/WorkFiles/haikang/project/project/core/]
[2025-07-25 20:11:16.986][DBG] CCoreGlobalCtrl::LoadDSo, HPR_LoadDSo, hHandleRet[902037504], enumDllType[0], Path[PlayCtrl.dll], syserror[0]
[2025-07-25 20:11:17.504][DBG] ID-IP-CHAN[0-192.168.1.64-1] [CPreviewPlayer::CreatePlayer] create player success, version is[v7.4.0.40]
[2025-07-25 20:11:17.516][INF] Private connect 192.168.1.64:8000 sock=3656 this=0x36771424 cmd=0x30000 port=52174
[2025-07-25 20:11:17.542][INF] ID-IP-CHAN[0-192.168.1.64-1] [CGetTCPStream::Start] Stream Head Data Callback Start
[2025-07-25 20:11:17.542][INF] ID-IP-CHAN[0-192.168.1.64-1] [CGetTCPStream::Start] Stream Head Data Callback End
[2025-07-25 20:11:17.545][ERR] GetOverlayFontPath Failed
[2025-07-25 20:11:17.556][INF] ID-IP-CHAN[0-192.168.1.64-1] [CPreviewPlayer::OpenPlayer] open player[36c9e314] success
[2025-07-25 20:11:17.556][INF] CCoreGlobalCtrl::LoadDSo, enumDllType[2], cTempPath[E:/WorkFiles/haikang/project/project/core/HCNetSDKCom/]
[2025-07-25 20:11:17.560][DBG] CCoreGlobalCtrl::LoadDSo, HPR_LoadDSo, hHandleRet[1069678592], enumDllType[2], Path[SystemTransform.dll], syserror[0]
[2025-07-25 20:11:17.560][INF] CStreamConvert::LoadConvertLib Load Succ, m_iInitCount = 1
[2025-07-25 20:11:20.464][INF] Private connect 192.168.1.64:8000 sock=4856 this=0x36771b90 cmd=0x30200 port=52175
[2025-07-25 20:11:20.528][INF] Private connect 192.168.1.64:8000 sock=4856 this=0x36771b90 cmd=0x30200 port=52176
[2025-07-25 20:11:20.712][INF] Private connect 192.168.1.64:8000 sock=5200 this=0x36771b90 cmd=0x30200 port=52177
[2025-07-25 20:11:20.779][INF] Private connect 192.168.1.64:8000 sock=5212 this=0x36771b90 cmd=0x30200 port=52178
